alias_name,canonical_name,record_type,conferences,raw_names,source_files,notes
uzi emir,,output,2021ABI,Uzi Emir,outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk8.json,
vivian liu,,output,2021ABI,Vivian Liu,outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk8.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk8.json,
wenjing wang,,output,2021ABI,Wenjing Wang,outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S16/Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk7.json,
yeigenia kozorovsky,,output,2021ABI,Yeigenia Kozorovsky,outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p1_Zoom_Meeting_Room_6_2021_05_21_10_58_23.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p2_Zoom_Meeting_Room_6_2021_05_21_10_59_29.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk8.json,
yevgenia kozoravitskiy,,output,2021ABI,Yevgenia Kozoravitskiy,outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p1_Room_3_Zoom_Meeting_2021_05_21_13_10_02.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk7.json,
yevgenia kozorovitksy,,output,2021ABI,Yevgenia Kozorovitksy,outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Room_5_Zoom_Meeting_5_20_2021_12_34_08_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_09_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk7.json,
yevgenia kozorovsky,,output,2021ABI,Yevgenia Kozorovsky,outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p1_Zoom_Meeting_Room_6_2021_05_21_10_58_23.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p2_Zoom_Meeting_Room_6_2021_05_21_10_59_29.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk8.json,
alex green,,output,2021CMC,Alex Green,outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_07_12_36_41_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk8.json,
alexander green,,truth,2021CMC,Alexander Green,analysis_v1/data/2021CMC/2021CMC_outcome.json,
alexis c komor,,output,2021CMC,Alexis C Komor,outputs/2021CMC/output_2021_10_07_CMC_S3/B2.1_Zoom_Meeting_Room_2_2021_10_07_12_36_56.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk7.json,
beth childers,,output,2021CMC,Beth Childers,outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S5/B4_2021_10_07_12_37_15_chunk8.json,
cheeming tan,,output,2021CMC,Cheeming Tan,outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk8.json,
chemeng tan,,output,2021CMC,Chemeng Tan,outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk8.json,
g w gant luxton,,truth,2021CMC,G.W. Gant Luxton,analysis_v1/data/2021CMC/2021CMC_outcome.json,
gw gant luxton,,output,2021CMC,GW Gant Luxton,outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk8.json,
kathy liu,,output,2021CMC,Kathy Liu,outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S1/2021_10_07_11_31_22_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk8.json,
macha kamenetska,,output,2021CMC,Macha Kamenetska,outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S13/B5_2021_10_08_13_01_46_chunk8.json,
maisha kamenetska,,output,2021CMC,Maisha Kamenetska,outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk8.json,
maria kamenetska,,truth,2021CMC,Maria (Masha) Kamenetska,analysis_v1/data/2021CMC/2021CMC_outcome.json,
masha kamenetska,,output,2021CMC,Masha Kamenetska,outputs/2021CMC/output_2021_10_07_CMC_S3/B2.1_Zoom_Meeting_Room_2_2021_10_07_12_36_56.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S14/Room5_Session2_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S2/B1_Zoom_Meeting_Room_1_2021_10_08_10_59_46_chunk8.json,
rongsheng wang,,truth,2021CMC,Rongsheng (Ross) Wang,analysis_v1/data/2021CMC/2021CMC_outcome.json,
ross wang,,output,2021CMC,Ross Wang,outputs/2021CMC/output_2021_10_07_CMC_S3/B2.1_Zoom_Meeting_Room_2_2021_10_07_12_36_56.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S3/B2.2_Zoom_Meeting_Room_2_2021_10_07_12_41_55_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S3/B2_Zoom_Meeting_Room_2_2021_10_08_10_59_57_chunk8.json,
s stephen yi,,truth,2021CMC,S. Stephen Yi,analysis_v1/data/2021CMC/2021CMC_outcome.json,
stephen yi,,output,2021CMC,Stephen Yi,outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S6/B5_2021_10_07_12_37_23_chunk8.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk1.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk2.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk3.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk4.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk5.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk6.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk7.json | outputs/2021CMC/output_2021_10_07_CMC_S7/CMC_1_5_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S12/B4_2021_10_08_13_01_38_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S4/B3_2021_10_08_10_59_57_chunk8.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk1.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk2.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk3.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk4.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk5.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk6.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk7.json | outputs/2021CMC/output_2021_10_08_CMC_S8/2021_10_08_12_01_45_chunk8.json,
